,BREED_ID,PET_ID,GENDER,NEUTER_DATE,VISIT_DATE,VISIT_AGE,WEIGHT,BCS_RECORDED,BCS_PREDICTED,PREVENTIVE_CARE_VISIT,HEALTHY_PET_DIAGNOSIS,AV_BREED_WEIGHT,Age (Days),Age (Weeks)
5903422,1,18808,MN,2009-07-31,2009-06-13T04:00:00Z,0.355,21.001,None,None,Y,Y,54.216,127.8,18.46
5869351,1,11558,FS,2006-07-07,2007-06-23T04:00:00Z,1.324,44.906,None,None,Y,Y,54.216,476.64000000000004,68.848
5894908,1,17024,MN,2008-10-29,2008-10-29T04:00:00Z,0.332,17.327,None,None,N,N,54.216,119.52000000000001,17.264
5956875,1,28873,M,Unknown,2012-04-28T04:00:00Z,0.584,43.091,None,None,Y,N,54.216,210.23999999999998,30.368
5876884,1,13185,FS,2007-05-02,2007-04-03T04:00:00Z,0.393,27.578,Thin,None,Y,Y,54.216,141.48000000000002,20.436
5866363,1,10917,FS,2006-04-19,2006-04-05T04:00:00Z,0.514,26.399,None,None,Y,Y,54.216,185.04,26.728
5918462,1,21604,MN,Unknown,2010-02-03T05:00:00Z,2.011,49.26,None,None,N,N,54.216,723.96,104.572
5861768,1,10008,FS,1999-04-28,2000-10-09T04:00:00Z,2.038,65.317,None,Heavy,Y,Y,54.216,733.68,105.97599999999998
5952204,1,27915,MN,2012-01-31,2012-03-25T04:00:00Z,0.839,50.802,None,None,N,N,54.216,302.03999999999996,43.628
5829195,1,1507,M,Unknown,2001-06-26T04:00:00Z,1.865,54.295,None,None,N,N,54.216,671.4,96.98
5896652,1,17400,MN,2009-02-13,2009-05-24T04:00:00Z,0.747,37.467,None,None,N,N,54.216,268.92,38.844
5894295,1,16884,MN,2008-11-24,2008-11-24T05:00:00Z,0.426,27.669,None,None,N,N,54.216,153.35999999999999,22.152
5965085,1,30938,MN,2013-01-24,2012-12-16T05:00:00Z,0.266,13.426,None,None,Y,N,54.216,95.76,13.832
5882410,1,14374,FS,Unknown,2008-08-29T04:00:00Z,2.373,51.256,Heavy,None,Y,N,54.216,854.2800000000001,123.39600000000002
5925943,1,22941,FS,2010-07-30,2011-07-24T04:00:00Z,1.362,47.174,None,None,N,Y,54.216,490.32000000000005,70.82400000000001
5893224,1,16638,F,Unknown,2008-07-15T04:00:00Z,0.785,42.592,None,None,Y,Y,54.216,282.6,40.82
5912803,1,20592,FS,2009-10-09,2009-10-30T04:00:00Z,0.489,31.207,None,None,Y,Y,54.216,176.04,25.428
5867363,1,11127,F,Unknown,2003-02-25T05:00:00Z,0.697,43.363,None,None,Y,N,54.216,250.92,36.244
5893448,1,16683,FS,Unknown,2009-04-18T04:00:00Z,2.741,43.772,None,None,Y,N,54.216,986.76,142.532
5961640,1,29947,FS,2013-01-17,2012-09-22T04:00:00Z,0.216,11.521,None,None,N,N,54.216,77.76,11.232
5833510,1,3084,M,Unknown,1998-07-29T04:00:00Z,0.931,61.87,None,None,N,Y,54.216,335.16,48.412000000000006
5864954,1,10657,FS,2004-04-30,2004-04-03T05:00:00Z,0.393,21.999,None,None,N,N,54.216,141.48000000000002,20.436
5882384,1,14369,MN,Unknown,2008-03-08T05:00:00Z,1.231,42.184,None,None,Y,N,54.216,443.16,64.012
5827795,1,1109,F,Unknown,1999-09-21T04:00:00Z,0.142,5.897,None,None,N,N,54.216,51.12,7.3839999999999995
5941447,1,25795,MN,2012-12-20,2011-11-19T05:00:00Z,0.863,53.524,None,None,Y,N,54.216,310.68,44.876
5964986,1,30903,FS,2013-03-25,2012-11-19T05:00:00Z,0.592,43.726,None,None,Y,Y,54.216,213.11999999999998,30.784
5948622,1,27214,MN,2011-11-02,2012-01-02T05:00:00Z,0.498,42.638,None,None,N,N,54.216,179.28,25.896
5851564,1,8016,F,Unknown,2006-03-23T05:00:00Z,0.253,21.999,None,None,N,N,54.216,91.08,13.156
5912910,1,20613,M,Unknown,2010-02-23T05:00:00Z,0.596,50.077,None,None,Y,Y,54.216,214.56,30.991999999999997
5854337,1,8650,M,Unknown,2004-06-19T04:00:00Z,0.698,59.421,None,None,Y,N,54.216,251.27999999999997,36.296
5963627,1,30481,MN,2012-11-09,2012-11-19T05:00:00Z,0.625,46.266,None,None,N,N,54.216,225.0,32.5
5899506,1,18009,FS,2009-03-27,2009-02-20T05:00:00Z,0.29,20.911,None,None,Y,Y,54.216,104.39999999999999,15.079999999999998
5882977,1,14489,MN,2008-03-10,2009-05-31T04:00:00Z,1.889,59.874,None,None,Y,Y,54.216,680.04,98.228
5890618,1,16088,FS,2008-09-02,2010-07-26T04:00:00Z,2.539,33.929,Thin,None,Y,N,54.216,914.0400000000001,132.02800000000002
5833201,1,3005,MN,2000-09-08,2000-10-29T04:00:00Z,0.574,45.45,None,None,Y,N,54.216,206.64,29.848
5841078,1,5756,FS,Unknown,2004-10-20T04:00:00Z,2.089,49.895,None,Normal,Y,Y,54.216,752.04,108.628
5838270,1,4806,FS,2000-04-04,2000-01-29T05:00:00Z,0.311,20.911,None,None,Y,Y,54.216,111.96,16.172
5921420,1,22107,FS,2010-08-11,2010-06-12T04:00:00Z,0.342,20.956,None,None,Y,Y,54.216,123.12,17.784000000000002
5937272,1,24979,FS,2011-04-22,2011-10-17T04:00:00Z,0.953,41.005,None,None,N,N,54.216,343.08,49.556
5942726,1,26047,FS,Unknown,2012-07-11T04:00:00Z,2.555,41.186,None,None,Y,N,54.216,919.8000000000001,132.86
5929689,1,23576,MN,2010-10-19,2011-05-16T04:00:00Z,0.899,48.534,None,None,N,N,54.216,323.64,46.748000000000005
5882174,1,14328,F,Unknown,2008-09-05T04:00:00Z,1.631,52.163,None,None,N,N,54.216,587.16,84.812
5839060,1,5082,MN,2000-08-10,2000-08-10T04:00:00Z,2.998,59.466,None,Normal,N,N,54.216,1079.28,155.89600000000002
5954770,1,28434,F,Unknown,2012-03-26T04:00:00Z,0.23,9.072,None,None,Y,Y,54.216,82.8,11.96
5915180,1,21046,MN,2010-09-21,2012-07-30T04:00:00Z,2.837,65.317,None,None,N,N,54.216,1021.32,147.524
5831258,1,2233,FS,Unknown,2004-05-15T04:00:00Z,2.717,57.742,None,None,Y,N,54.216,978.12,141.284
5954911,1,28464,FS,Unknown,2012-03-18T04:00:00Z,2.011,48.262,None,None,Y,Y,54.216,723.96,104.572
5842342,1,6161,M,Unknown,2003-02-13T05:00:00Z,2.503,46.266,Thin,None,N,N,54.216,901.08,130.156
5842940,1,6291,FS,Unknown,2006-05-31T04:00:00Z,2.897,43.999,None,None,Y,N,54.216,1042.9199999999998,150.64399999999998
5883433,1,14571,F,Unknown,2009-08-09T04:00:00Z,2.073,47.627,None,None,Y,N,54.216,746.28,107.79599999999999
5883375,1,14563,MN,2007-11-14,2008-08-17T04:00:00Z,1.22,56.699,None,None,Y,Y,54.216,439.2,63.44
5857380,1,9179,MN,2009-11-23,2005-07-06T04:00:00Z,2.448,46.734,None,None,N,N,54.216,881.28,127.29599999999999
5844030,1,6531,FS,2001-05-19,2001-03-26T05:00:00Z,0.385,23.224,Thin,None,N,N,54.216,138.6,20.02
5923311,1,22438,MN,2010-06-13,2010-05-22T04:00:00Z,0.301,10.433,None,None,Y,N,54.216,108.36,15.652
5858359,1,9381,MN,2003-12-18,2003-12-18T05:00:00Z,0.467,20.865,None,None,N,N,54.216,168.12,24.284000000000002
5924074,1,22577,FS,2010-12-10,2012-04-29T04:00:00Z,2.123,58.967,None,None,Y,N,54.216,764.2800000000001,110.39600000000002
